ari,nmi,fmi,purity,vm,homogeneity,completeness,time,K,T,D
0.760475722886528,0.8812079011532054,0.8143533520977007,0.9378172588832487,0.8827806537217571,0.9324273450929331,0.8381535308812369,0.7583560943603516,20,1.0,0
0.8896002959714738,0.9089878225803169,0.91335862944732,0.9276649746192893,0.9102551962161903,0.9261840082046897,0.8948650183401382,0.7583560943603516,20,1.0,0
0.7836967137447378,0.9011911263601889,0.8330518606936839,0.9517766497461929,0.9025035012082155,0.9511845373877448,0.858562788820529,0.7583560943603516,20,1.0,0
0.9190522988548845,0.9334687224813469,0.9368131378395909,0.9631979695431472,0.9343931078290322,0.9525444136162002,0.9169206345435293,0.7583560943603516,20,1.0,0
0.7584301997979956,0.8798066522143192,0.8126997653404502,0.9365482233502538,0.8813975675613434,0.9311253041214705,0.836712070115192,0.7583560943603516,20,1.0,0
0.9948884288275354,0.9914076431978375,0.9959949928090097,0.9974619289340102,0.9915301175522561,0.9923841394873274,0.9906775642548062,1.504824161529541,20,1.0,1
0.9948884288275354,0.9914076431978377,0.9959949928090097,0.9974619289340102,0.9915301175522562,0.9923841394873276,0.9906775642548064,1.504824161529541,20,1.0,1
0.7923663831774321,0.9076847638061971,0.8398093439412666,0.9543147208121827,0.9089131911505383,0.9565766947635438,0.8657741221903968,1.504824161529541,20,1.0,1
0.9948884288275354,0.9914076431978377,0.9959949928090097,0.9974619289340102,0.9915301175522562,0.9923841394873276,0.9906775642548064,1.504824161529541,20,1.0,1
0.9948884288275354,0.9914076431978377,0.9959949928090097,0.9974619289340102,0.9915301175522562,0.9923841394873276,0.9906775642548064,1.504824161529541,20,1.0,1
0.7884248384106147,0.9068738107685866,0.8368266774888748,0.9543147208121827,0.9081116883431957,0.9565766947635438,0.8643208299598046,2.224759101867676,20,1.0,2
0.9948884288275354,0.9914076431978377,0.9959949928090097,0.9974619289340102,0.9915301175522562,0.9923841394873276,0.9906775642548064,2.224759101867676,20,1.0,2
0.7886246402984581,0.9069146877242305,0.8369778408049869,0.9543147208121827,0.908152089246596,0.9565766947635437,0.8643940297705687,2.224759101867676,20,1.0,2
0.9948884288275354,0.9914076431978377,0.9959949928090097,0.9974619289340102,0.9915301175522562,0.9923841394873276,0.9906775642548064,2.224759101867676,20,1.0,2
0.9948884288275354,0.9914076431978377,0.9959949928090097,0.9974619289340102,0.9915301175522562,0.9923841394873276,0.9906775642548064,2.224759101867676,20,1.0,2
0.7919096895229168,0.9075903056736523,0.839463683777173,0.9543147208121827,0.9088198344009444,0.9565766947635439,0.8656047275226372,2.946322202682495,20,1.0,3
0.9948884288275354,0.9914076431978377,0.9959949928090097,0.9974619289340102,0.9915301175522562,0.9923841394873276,0.9906775642548064,2.946322202682495,20,1.0,3
0.9948884288275354,0.9914076431978377,0.9959949928090097,0.9974619289340102,0.9915301175522562,0.9923841394873276,0.9906775642548064,2.946322202682495,20,1.0,3
0.9948884288275354,0.9914076431978377,0.9959949928090097,0.9974619289340102,0.9915301175522562,0.9923841394873276,0.9906775642548064,2.946322202682495,20,1.0,3
0.9948884288275354,0.9914076431978377,0.9959949928090097,0.9974619289340102,0.9915301175522562,0.9923841394873276,0.9906775642548064,2.946322202682495,20,1.0,3
0.9948884288275354,0.9914076431978377,0.9959949928090097,0.9974619289340102,0.9915301175522562,0.9923841394873276,0.9906775642548064,3.647892713546753,20,1.0,4
0.9948884288275354,0.9914076431978377,0.9959949928090097,0.9974619289340102,0.9915301175522562,0.9923841394873276,0.9906775642548064,3.647892713546753,20,1.0,4
0.9948884288275354,0.9914076431978375,0.9959949928090097,0.9974619289340102,0.9915301175522561,0.9923841394873274,0.9906775642548062,3.647892713546753,20,1.0,4
0.9948884288275354,0.9914076431978377,0.9959949928090097,0.9974619289340102,0.9915301175522562,0.9923841394873276,0.9906775642548064,3.647892713546753,20,1.0,4
